pose_num,x_truth,y_truth,theta_truth
00S,0.0,0.0,0.0
01S,28.950172,0.073807,0.07496131023411945
02S,59.837269,0.080955,0.017643924825314086
03S,99.620013,0.191745,-0.02957077271972931
04S,145.005066,0.928983,-0.06691930160779318
05S,190.864028,1.268456,0.05806326729549342
06S,233.568567,1.928904,-0.004596185809854379
07S,267.289868,2.016211,-0.017724728338597
08S,310.316935,2.03466,-0.08293847518850353
09S,353.143606,2.465359,-0.011733537032564885
10S,399.863537,3.042169,0.01945841530756309
11S,446.189449,3.432458,-0.037598099672427075
12S,485.733027,8.974835,0.3142605188966022
13S,525.853471,30.439877,0.592476213222258
14S,549.121104,41.201022,-0.2000577239491484
15S,549.687615,47.520827,1.5807166359036808
16S,535.234521,37.486982,-2.5395589190188583
17S,500.119017,15.227761,-2.7279083447733883
18S,466.181656,3.65187,-3.034232206926444
19S,423.380886,4.015851,-3.118720755971632
20S,380.160158,3.229205,-3.135113387495292
21S,310.346323,1.991077,-3.1261360414320465
22S,295.663085,32.841032,1.8074690975565364
23S,289.124972,54.636233,2.067899664834806
24S,276.795643,64.103551,2.859676472839944
25S,251.2194,64.61432,-3.113399962751027
26S,242.742789,64.110777,-3.0824071190411795
27S,201.511149,64.67615,3.0544421292706687
28S,144.929671,63.381283,3.098466016887889
29S,111.007256,62.878833,-3.100504401661778
30S,50.942141,62.402245,-3.132338624265654
31S,25.002731,56.306767,-2.3746271205399907
32S,18.578535,29.09919,-1.5805547769672081
33S,23.358895,8.249176,2.3000615394160238
34S,20.304084,49.064579,1.3000668974248566
35S,87.11168,63.451837,0.1074326997981866
36S,157.872161,62.851786,-0.035984302022388164
37S,235.755705,63.762885,0.1462410488810605
38S,285.422762,60.101571,-0.5777678040550271
39S,296.86785,31.020862,-1.3432301417367507
40S,310.240549,1.984386,3.118110706483269
41S,221.293352,1.756322,-3.120211326738312
42S,124.677339,0.748145,3.1145014299535188
43S,28.763336,0.090032,-3.1376796007533
