Time (s),X_ego,Y_ego,Yaw_ego,X_1,Y_1,Yaw_1,X_2,Y_2,Yaw_2,X_3,Y_3,Yaw_3,X_4,Y_4,Yaw_4,X_5,Y_5,Yaw_5,X_6,Y_6,Yaw_6
0,599.8497755,1647.641129,-0.50076618,635.447,1620.546,-0.888442402,,,,,,,,,,,,,,,
0.5,603.5686082,1645.536401,-0.518344145,637.445,1618.566,-0.73136277,660,1613.648,-1.976742458,,,,,,,,,,,,
1,607.1937161,1643.374074,-0.545476072,639.933,1616.457,-0.696456185,660.012,1613.639,-1.976742458,,,,,,,,,,,,
1.5,610.7307029,1641.142628,-0.574252856,642.736,1614.065,-0.73136277,660.025,1613.629,-1.976742458,,,,,,,,,,,,
2,614.1999605,1638.821691,-0.601656337,646.361,1610.98,-0.713909477,660.01,1613.556,-1.976742458,,,,,,,662.526,1618.552,-2.096856017,,,
2.5,617.6835286,1636.343975,-0.625530303,649.069,1608.824,-0.713909477,659.996,1613.483,-1.976742458,672.574,1595.791,2.411922853,,,,662.452,1618.663,-2.096856017,,,
3,621.155543,1633.725327,-0.656278736,652.553,1605.787,-0.713909477,659.91,1613.29,-1.976742458,670.89,1597.24,2.40755953,,,,662.437,1618.637,-2.096856017,,,
3.5,624.647469,1630.946488,-0.677037989,656.079,1602.89,-0.713909477,659.825,1613.097,-1.976742458,669.207,1598.689,2.403196207,,,,662.626,1618.665,-2.096856017,,,
4,628.0910418,1628.080526,-0.690762144,659.848,1599.669,-0.73136277,659.578,1612.577,-1.906929287,667.523,1600.138,2.398832884,,,,662.466,1618.448,-2.096856017,,,
4.5,631.5264252,1625.179661,-0.695209595,663.617,1596.449,-0.713909477,659.368,1612.042,-1.837116117,665.84,1601.587,2.394469561,,,,662.387,1618.253,-2.096856017,,,
5,634.8815035,1622.318414,-0.692115716,667.107,1593.426,-0.713909477,659.243,1611.678,-1.906929287,665.516,1601.888,2.394469561,,,,662.517,1618.419,-2.096856017,,,
5.5,637.8888836,1619.774863,-0.690742675,671.679,1589.465,-0.713909477,659.092,1611.324,-1.976742458,665.191,1602.188,2.394469561,,,,662.47,1618.308,-2.096856017,,,
6,640.4212009,1617.634762,-0.692617205,,,,659.03,1610.983,-1.946199196,664.867,1602.488,2.394469561,675.209,1599.751,2.384590997,662.438,1618.223,-2.096856017,,,
6.5,642.0459506,1616.254394,-0.694316588,,,,658.977,1610.64,-1.915655934,664.894,1602.503,2.394469561,675.185,1599.774,2.384590997,662.453,1618.249,-2.096856017,,,
7,643.6277724,1614.916427,-0.694007191,,,,658.745,1609.74,-1.885112672,664.921,1602.517,2.394469561,675.162,1599.796,2.384590997,662.423,1618.198,-2.096856017,,,
